resolution,frame_no,pts,codec,source_width,source_height,decode_ms,push_block_ms,app_to_dec_ms,dec_to_conv_ms,conv_to_sink_ms,display_ms,frame_interval_ms,queue_depth,decoded_at
1920x1080,42,1640000000,H.265,1920,1080,97.1964,0.023776,-1,-1,-1,19.202,38.8992,2,2026-08-04 17:56:58
1920x1080,43,1680000000,H.265,1920,1080,99.4293,0.016544,-1,-1,-1,12.8689,42.1352,2,2026-08-04 17:56:58
1920x1080,44,1720000000,H.265,1920,1080,99.5242,0.015585,-1,-1,-1,16.7672,39.2457,2,2026-08-04 17:56:58
1920x1080,45,1760000000,H.265,1920,1080,99.2131,0.022464,-1,-1,-1,15.7424,42.1546,2,2026-08-04 17:56:58
1920x1080,46,1800000000,H.265,1920,1080,95.845,0.024577,-1,-1,-1,14.7505,35.7732,2,2026-08-04 17:56:58
1920x1080,47,1840000000,H.265,1920,1080,96.2373,0.023553,-1,-1,-1,15.4853,42.4595,2,2026-08-04 17:56:58
1920x1080,48,1880000000,H.265,1920,1080,94.7484,0.019553,-1,-1,-1,16.5198,35.2735,2,2026-08-04 17:56:58
1920x1080,49,1920000000,H.265,1920,1080,95.3772,0.016993,-1,-1,-1,17.1887,44.0757,2,2026-08-04 17:56:59
1920x1080,50,1960000000,H.265,1920,1080,99.0788,0.021536,-1,-1,-1,15.631,39.9366,2,2026-08-04 17:56:59
1920x1080,51,2000000000,H.265,1920,1080,96.3685,0.022465,-1,-1,-1,15.45,40.7139,2,2026-08-04 17:56:59
1920x1080,52,2040000000,H.265,1920,1080,98.3313,0.021505,-1,-1,-1,15.1752,38.5956,2,2026-08-04 17:56:59
1920x1080,53,2080000000,H.265,1920,1080,99.141,0.015232,-1,-1,-1,15.0944,42.13,2,2026-08-04 17:56:59
1920x1080,54,2120000000,H.265,1920,1080,96.6227,0.015328,-1,-1,-1,15.3055,37.0059,2,2026-08-04 17:56:59
1920x1080,55,2160000000,H.265,1920,1080,95.555,0.024448,-1,-1,-1,15.5906,40.9986,2,2026-08-04 17:56:59
1920x1080,56,2200000000,H.265,1920,1080,139.36,0.022624,-1,-1,-1,15.9402,81.1553,2,2026-08-04 17:56:59
1920x1080,57,2240000000,H.265,1920,1080,130.71,0.021761,-1,-1,-1,16.232,32.6437,3,2026-08-04 17:56:59
1920x1080,58,2280000000,H.265,1920,1080,75.6351,0.021761,-1,-1,-1,11.4857,25.582,2,2026-08-04 17:56:59
1920x1080,59,2320000000,H.265,1920,1080,85.6569,0.025185,-1,-1,-1,15.5055,40.9578,2,2026-08-04 17:56:59
1920x1080,60,2360000000,H.265,1920,1080,103.405,0.022721,-1,-1,-1,10.7901,24.3817,2,2026-08-04 17:56:59
1920x1080,61,2400000000,H.265,1920,1080,96.7641,0.021153,-1,-1,-1,14.9945,36.501,2,2026-08-04 17:56:59
1920x1080,62,2440000000,H.265,1920,1080,91.5773,0.022529,-1,-1,-1,18.3068,36.0526,2,2026-08-04 17:56:59
1920x1080,63,2480000000,H.265,1920,1080,96.0803,0.025985,-1,-1,-1,15.527,42.991,2,2026-08-04 17:56:59
1920x1080,64,2520000000,H.265,1920,1080,97.1402,0.017025,-1,-1,-1,18.3729,38.1524,2,2026-08-04 17:56:59
1920x1080,65,2560000000,H.265,1920,1080,93.8477,0.018816,-1,-1,-1,14.9843,38.6516,2,2026-08-04 17:56:59
1920x1080,66,2600000000,H.265,1920,1080,99.789,0.020993,-1,-1,-1,15.289,44.1073,2,2026-08-04 17:56:59
1920x1080,67,2640000000,H.265,1920,1080,98.4426,0.017697,-1,-1,-1,16.4041,38.6559,2,2026-08-04 17:56:59
1920x1080,68,2680000000,H.265,1920,1080,97.7503,0.018049,-1,-1,-1,10.7971,41.0843,2,2026-08-04 17:56:59
1920x1080,69,2720000000,H.265,1920,1080,93.9931,0.01424,-1,-1,-1,17.4787,37.8652,2,2026-08-04 17:56:59
1920x1080,70,2760000000,H.265,1920,1080,95.7227,0.016096,-1,-1,-1,15.8981,40.3061,2,2026-08-04 17:56:59
1920x1080,71,2800000000,H.265,1920,1080,97.5772,0.023425,-1,-1,-1,14.973,40.3341,2,2026-08-04 17:56:59
